trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,3,-99.41344342118033,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-76.87344065731848,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,16,8.375936959855617,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,6,-84.23578739926917,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-102.73242649702107,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-77.04398720716077,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-131.91770622723118,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-194.32264673926105,"{0: 15, 1: 6, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,16,4.582506481968203,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-143.32886891075708,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-187.0405646900384,"{0: 14, 1: 4, 2: 10, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-136.2369644363617,"{0: 17, 1: 2, 2: 7, 3: 4, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-17.279248070740053,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-192.02175936369588,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-126.10149115106707,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-60.41480073889959,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,12.58651189826244,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,1,-4.145418655792532,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,17,22.994713239126536,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,15,7.163928409137971,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-13.799851541532234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,19,10.494771318801435,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,-3.451618045532697,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,13.005242182886247,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,9,-59.1563734539191,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,11,14.845502513367975,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,26.735242973874982,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,20.948983277529944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,15,-8.58085713588728,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,7.645421425532592,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
