trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-153.78417679192833,"{0: 10, 1: 9, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-145.31761669075127,"{0: 6, 1: 6, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-74.97227626246597,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-89.45878431076976,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-67.8042428897254,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,7,-67.76693183888057,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-127.4878160287051,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-115.72852693410265,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-97.8365198723129,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-246.2262023506192,"{0: 12, 1: 8, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-105.23761324108612,"{0: 17, 1: 9, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,12,-50.06542867032015,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-92.51345805099983,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-71.45055326658462,"{0: 21, 1: 6, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-89.04418892493531,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-254.21528435382672,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-298.3272897709634,"{0: 13, 1: 1, 2: 10, 3: 2, 4: 4}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-36.266760853880356,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-66.58981529489026,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-185.09368865793866,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-104.75956785808198,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-154.01146109670134,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-150.92028547657785,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
